,blockF,blockT,Trips_median,Trips_mean,Trips_sum,dist,x_f,y_f,x_t,y_t,placeF,placeT,Lat_from,Lon_from,Lat_to,Lon_to,network_node_id_ori,network_node_id_dest,driving_dist,driving_time,Walk_to_start_time,Walk_from_end_time,In_vehicle_time
830,23,52.0,1.0,1.3333333333333333,4,38662.86211185839,623055.0176667718,4365202.515117283,620707.418904495,4403794.038626105,Palermo,Paradise,39.427579878721005,-121.57029006378939,39.77553291162398,-121.59052732866894,86413631.0,86556927.0,43218.787999999986,31.556666666666686,10.9559065472142,1.9640037216240276,
831,23,53.0,1.0,1.0,2,38744.48272514669,620595.9773663515,4365770.707980772,620902.3306728296,4404513.979516495,Palermo,Paradise,39.43304576236884,-121.59874970421748,39.781990052192064,-121.58811950681103,86486876.0,86430386.0,42704.446999999986,29.48500000000001,6.455498068666791,1.7758685124329507,
832,23,55.0,1.0,1.8,9,36102.4828027786,625338.4283858131,4366761.744217367,621032.5489053298,4402484.998364319,Palermo,Paradise,39.44129599021108,-121.54347580671448,39.763695679368766,-121.5869730727563,86435565.0,86441505.0,42868.97600000001,31.69166666666667,11.182707874847917,14.120515274893032,
833,23,56.0,1.0,1.0,1,34657.571028814134,624645.6363532678,4366662.817004815,620858.0816007559,4401112.804793115,Palermo,Paradise,39.44050540086888,-121.55154259997529,39.751360500917635,-121.58926159997526,86435587.0,86497046.0,41438.350000000006,29.848333333333343,6.668993279713004,18.824582888484816,
834,23,57.0,2.5,2.5,5,31189.48445116144,624384.682299269,4368384.125178986,615268.40404043,4398211.585866022,Palermo,Paradise,39.45604829802939,-121.55425347038772,39.72600170091364,-121.65499899997718,86407474.0,86483530.0,42413.523000000016,27.74666666666667,27.395264942187772,29.19578453785284,
835,23,60.0,1.0,1.0,4,45045.20345310243,624108.8792164922,4365654.347462131,621934.5200754897,4410647.041496355,Palermo,Magalia,39.431498788558734,-121.55796552502069,39.83708518314194,-121.57492883083039,86472689.0,86451481.0,51258.083000000006,39.17166666666666,8.491236272084492,22.724051388380897,
836,23,61.0,1.0,1.0,1,51295.66995361509,620176.9829146478,4357388.296697031,619342.3489994241,4408677.176020114,Palermo,Magalia,39.35759500085617,-121.6051215999772,39.81970996863864,-121.60557430548887,7324623727.0,86526670.0,58980.41000000002,43.59500000000002,44.327767092347685,14.375820999836801,
837,23,62.0,1.0,1.0,2,44438.56956934394,626937.5607768074,4367283.156313584,620517.2468168675,4411215.203091422,Palermo,Magalia,39.4457585376739,-121.52479935086143,39.84240505987479,-121.59138344603531,4301527436.0,86465789.0,52211.288,44.49000000000003,28.184244081030606,7.04178325709162,
838,23,64.0,1.0,1.0,1,39127.977123066,626553.8687493372,4369938.246642325,619327.7264532003,4408393.174301328,Palermo,Magalia,39.469731180873396,-121.52875354997444,39.817153901095935,-121.6057968139369,86397340.0,86529433.0,47257.217000000004,38.546666666666674,9.662587320894994,14.593287059163531,
839,23,65.0,1.0,1.0,1,39890.08288623072,632101.5434253521,4368866.88686714,620115.9539358277,4406913.75739888,Palermo,Magalia,39.45924730087174,-121.46449269997215,39.803717200926,-121.59686089997527,86530439.0,86473695.0,51399.23,42.410000000000004,55.21211320892226,14.20191493282915,
