,blockF,blockT,Trips_median,Trips_mean,Trips_sum,dist,x_f,y_f,x_t,y_t,placeF,placeT
621,17,69.0,3.0,5.096774193548387,158,2127.4683151327013,613287.0762200435,4414587.1596635645,615295.2914110756,4412628.014629595,Forest Ranch,Forest Ranch
622,17,76.0,1.0,1.0,2,14683.044792791852,613272.8261933404,4414809.218655058,616508.504445371,4400487.131145325,Forest Ranch,Paradise
623,18,1.0,2.0,2.888888888888889,78,49226.52445423099,620992.1564062854,4354614.974134372,600756.3495736818,4398766.375798864,Honcut,Chico
624,18,2.0,3.0,3.2857142857142856,115,19438.524055782065,625962.0058643372,4354635.908044271,623691.9621235728,4373896.014572855,Honcut,Oroville
625,18,4.0,1.0,1.0,6,13293.584475725413,620784.4390188002,4354424.74733595,611747.7303419512,4363200.51913771,Honcut,Biggs
626,18,5.0,3.0,3.1666666666666665,114,9706.456922249077,621395.8985888986,4355082.679546002,613044.7004051598,4357500.1383868605,Honcut,Gridley
627,18,6.0,3.0,4.0,156,15133.663935456108,623567.2952527667,4353535.559087186,638260.2411726607,4351569.274955086,Honcut,Bangor
628,18,7.0,1.0,1.25,5,36728.480777406076,623273.7870952347,4354780.662895331,635048.1247898189,4388004.311062891,Honcut,Berry Creek
629,18,9.0,1.0,1.0,1,89834.66387912486,621048.4638446005,4353391.308436329,665830.8853789603,4431268.144246435,Honcut,Butte Meadows
630,18,10.0,1.0,1.0,6,39457.44690020129,620695.2237789478,4352886.33184397,616367.8085616188,4389850.402573749,Honcut,Butte Valley
631,18,11.0,1.0,1.0,1,31808.19775515314,620755.2044826364,4355316.345582697,626410.6847806566,4386617.735121016,Honcut,Cherokee
632,18,14.0,1.0,1.0,2,46247.23693330515,621032.878906576,4353815.067526089,630737.0558083602,4398973.2307761535,Honcut,Concow
633,18,15.0,1.0,1.0,3,34127.86993945088,621134.0814896544,4351251.112015819,612608.569271875,4384704.370020226,Honcut,Durham
634,18,21.0,1.0,1.0,2,74667.95870773893,620407.8206052858,4356026.8990700655,582635.7941702711,4420435.917192287,Honcut,Nord
635,18,22.0,1.0,1.75,42,16755.48283057029,625481.3188665307,4354498.250231592,628147.6640551335,4370906.217113823,Honcut,Oroville East
